id,firm,year_est,plant id,place,district,state,lat,long
1,ANDREW YULE & CO.LTD.,1875,1,Sukhiapokhri,Darjiling,West Bengal,26.98551,88.14711
1,ANDREW YULE & CO.LTD.,1875,2,Kalyani,Nadia,West Bengal ,22.96473,88.44538
1,ANDREW YULE & CO.LTD.,1875,3,Banarhat, Jalpaiguri ,West Bengal ,26.77564,88.96003
1,ANDREW YULE & CO.LTD.,1875,4,bidhannagar,north twenty four parganas,West Bengal ,22.52938,88.32244
1,ANDREW YULE & CO.LTD.,1875,5,Bukahula,Dibrugarh,assam,27.47807,94.90115
1,ANDREW YULE & CO.LTD.,1875,6,Lahoal T.E. 27/148 Orr,Dibrugarh,assam,27.46021,94.99247
1,ANDREW YULE & CO.LTD.,1875,7,Alipore,south twenty four parganas,West Bengal ,22.52014,88.31144
1,ANDREW YULE & CO.LTD.,1875,8,"
Perungudi",kancheepuram,T.N,12.6148,80.16973
1,ANDREW YULE & CO.LTD.,1875,9,Rajgarh T.E. 275/299 Nlr,Dibrugarh,assam,27.11422,95.13479
1,ANDREW YULE & CO.LTD.,1875,10,Mariani,jorhat,assam,26.6539,94.3105
2,BALMER LAWRIE & CO.LTD.,1867,11,Piala,faridabad,Haryana,28.35909,77.3305
2,BALMER LAWRIE & CO.LTD.,1867,12,Manali,thiruvallur,T.N,13.17535,80.29284
2,BALMER LAWRIE & CO.LTD.,1867,13,Patnam,chittoor,andhra pradesh,13.2626,79.05937
2,BALMER LAWRIE & CO.LTD.,1867,14,Alipore,south twenty four parganas,West Bengal ,22.59156,88.37495
2,BALMER LAWRIE & CO.LTD.,1867,15,greater mumbai part,mumbai suburban,maharashtra,18.93517,72.84071
2,BALMER LAWRIE & CO.LTD.,1867,16,navi mumbai panvel raigarh,raigarh,maharashtra,19.05276,73.11998
2,BALMER LAWRIE & CO.LTD.,1867,17,sohna,gurgaon,haryana,28.41991,77.03728
2,BALMER LAWRIE & CO.LTD.,1867,18,Silvassa,dadra nagar haveli,dadra nagar haveli,20.24585,73.00683
3,BEML LTD.,1964,19,bruhat bengaluru mahanagara palike part,bangalore,karnataka,12.9665,77.59265
3,BEML LTD.,1964,20,bruhat bengaluru mahanagara palike part,bangalore,karnataka,12.98264,77.5349
3,BEML LTD.,1964,21,kolar rural,kolar,karnataka,15.141394,76.927281
3,BEML LTD.,1964,22,Belavadi,mysore,karnataka,12.34276,76.579
3,BEML LTD.,1964,23,pudussery central,palakkad,kerala,10.77165,76.78785
4,BHARAT DYNAMICS LTD.,1970,24,greater hyderabad municipal corporation part,rangareddy,andhra pradesh,17.3137,78.51075
4,BHARAT DYNAMICS LTD.,1970,25,greater hyderabad municipal corporation part,rangareddy,andhra pradesh,17.48521,78.18578
4,BHARAT DYNAMICS LTD.,1970,26,vadlapudi u,visakhapatnam,andhra pradesh,17.68213,83.24887
5,BHARAT ELECTRONICS LTD.,1954,27,bruhat bengaluru mahanagara palike part,bangalore,karnataka,13.05371,77.5433
5,BHARAT ELECTRONICS LTD.,1954,28,sahibabad,ghaziabad,uttar pradesh,28.67726,77.35807
5,BHARAT ELECTRONICS LTD.,1954,29,"Nandambakkam
",kancheepuram,T.N,12.97552,80.05623
5,BHARAT ELECTRONICS LTD.,1954,30,Pune,Pune,maharashtra,18.53638,73.80323
5,BHARAT ELECTRONICS LTD.,1954,31,Machilipatnam,krishna,andhra pradesh,16.1786,81.13249
5,BHARAT ELECTRONICS LTD.,1954,32,Panchkula ,panchkula, Haryana,30.67314,76.84427
5,BHARAT ELECTRONICS LTD.,1954,33,Bhel Sarda,garhwal,uttarakhand,29.831204,78.777555
5,BHARAT ELECTRONICS LTD.,1954,34,navi mumbai,thane,maharashtra,19.1662,72.99656
6,BHARAT HEAVY ELECTRICALS LTD.,1964,35,Bhopal,Bhopal,Madhya Pradedh,23.24912,77.47647
6,BHARAT HEAVY ELECTRICALS LTD.,1964,36,bruhat bengaluru mahanagara palike part,bangalore,karnataka,13.0105,77.56891
6,BHARAT HEAVY ELECTRICALS LTD.,1964,37,Goindwal ,tarn taran,{Punjab),31.35909,75.13947
6,BHARAT HEAVY ELECTRICALS LTD.,1964,38,Ranipur,hardwar,uttarakhand,30.06041,78.28949
6,BHARAT HEAVY ELECTRICALS LTD.,1964,39,ramachandrapuram,east godavari,andhra pradesh,16.8323,82.0347
6,BHARAT HEAVY ELECTRICALS LTD.,1964,40,jhansi,jhansi,uttar pradesh,25.44873,78.57013
6,BHARAT HEAVY ELECTRICALS LTD.,1964,41,Amethi,sultanpur,uttar pradesh,26.45781,81.62543
6,BHARAT HEAVY ELECTRICALS LTD.,1964,42,Nagpur,Nagpur,maharashtra,21.15262,79.0882
6,BHARAT HEAVY ELECTRICALS LTD.,1964,43,greater mumbai part,mumbai suburban,maharashtra,19.12732,72.86205
6,BHARAT HEAVY ELECTRICALS LTD.,1964,44,greater noida,gautam buddha nagar,uttar pradesh,28.55702,77.32624
6,BHARAT HEAVY ELECTRICALS LTD.,1964,45,ranipettai,vellore,T.N,12.92844,79.32889
6,BHARAT HEAVY ELECTRICALS LTD.,1964,46,Dogori Range,udham singh nagar,uttarakhand,28.9778,79.4017
6,BHARAT HEAVY ELECTRICALS LTD.,1964,47,tiruchirappalli,tiruchirappalli,T.N,10.81613,78.65876
6,BHARAT HEAVY ELECTRICALS LTD.,1964,48,Shivpur,varanasi,uttar pradesh,25.34791,82.96447
6,BHARAT HEAVY ELECTRICALS LTD.,1964,49,mindi u,visakhapatnam,andhra pradesh,17.68213,83.24887
7,BHARAT PETROLEUM CORP.LTD.,1976,,thrippunithura,ernakulam,kerala,9.94612,76.34181
7,BHARAT PETROLEUM CORP.LTD.,1976,,numaligarh refinery township,golaghat,assam,26.6325,93.715
